USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
VA	5100148	02390694	Abingdon town	43	A	20888701	21401	       8.065	       0.008	 36.709224	 -81.970927                                                                                                  
VA	5100180	02390696	Accomac town	43	A	1057250	2124	       0.408	       0.001	 37.719561	 -75.667784                                                                                                     
VA	5100468	02389120	Adwolf CDP	57	S	21981272	31915	       8.487	       0.012	 36.797941	 -81.593137                                                                                                     
VA	5100724	02390698	Alberta town	43	A	5518513	34178	       2.131	       0.013	 36.854006	 -77.893986                                                                                                    
VA	5101000	01498415	Alexandria city	25	A	38977688	1127171	      15.049	       0.435	 38.820071	 -77.084063                                                                                              
VA	5101256	02584796	Allisonia CDP	57	S	8537477	292207	       3.296	       0.113	 36.936866	 -80.718793                                                                                                  
VA	5101528	02390701	Altavista town	43	A	12705771	291710	       4.906	       0.113	 37.123439	 -79.283377                                                                                                
VA	5101640	02629016	Amelia Court House CDP	57	S	9710024	19981	       3.749	       0.008	 37.335858	 -77.986639                                                                                          
VA	5101672	02390702	Amherst town	43	A	12690066	41436	       4.900	       0.016	 37.581894	 -79.051995                                                                                                   
VA	5101912	02389138	Annandale CDP	57	S	20326897	30220	       7.848	       0.012	 38.832801	 -77.196229                                                                                                  
VA	5102040	02390706	Appalachia town	43	A	5750315	57844	       2.220	       0.022	 36.912644	 -82.794946                                                                                                 
VA	5102064	02629747	Apple Mountain Lake CDP	57	S	4443573	24675	       1.716	       0.010	 38.926685	 -78.105138                                                                                         
VA	5102072	02390707	Appomattox town	43	A	5876392	20947	       2.269	       0.008	 37.358738	 -78.826446                                                                                                 
VA	5102112	02389142	Aquia Harbour CDP	57	S	7366498	695430	       2.844	       0.269	 38.459234	 -77.380104                                                                                              
VA	5102248	02584797	Arcola CDP	57	S	5914539	62009	       2.284	       0.024	 38.940855	 -77.528886                                                                                                      
VA	5103000	02389148	Arlington CDP	57	S	67318429	244142	      25.992	       0.094	 38.878337	 -77.100703                                                                                                 
